2,2,100,1,GDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,-713342.9817,-4045569.083,4862925.394,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872664626,-1.745329252,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713342.9817,-4045569.083,4862925.394,-6.023,6.5623,4.5452,0,0,0,0.872664626,-1.745329252,178,2.296
100,-713343.584,-4045568.427,4862925.848,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872664737,-1.745329424,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713343.584,-4045568.427,4862925.848,-6.023,6.5623,4.5452,0,0,0,0.872664737,-1.745329424,178,2.296
200,-713344.1863,-4045567.771,4862926.303,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872664848,-1.745329596,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713344.1863,-4045567.771,4862926.303,-6.023,6.5623,4.5452,0,0,0,0.872664848,-1.745329596,178,2.296
300,-713344.7886,-4045567.115,4862926.757,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872664959,-1.745329768,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713344.7886,-4045567.115,4862926.757,-6.023,6.5623,4.5452,0,0,0,0.872664959,-1.745329768,178,2.296
400,-713345.3909,-4045566.458,4862927.212,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.87266507,-1.745329941,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713345.3909,-4045566.458,4862927.212,-6.023,6.5623,4.5452,0,0,0,0.87266507,-1.745329941,178,2.296
500,-713345.9932,-4045565.802,4862927.666,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872665181,-1.745330113,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713345.9932,-4045565.802,4862927.666,-6.023,6.5623,4.5452,0,0,0,0.872665181,-1.745330113,178,2.296
600,-713346.5955,-4045565.146,4862928.121,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872665292,-1.745330285,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713346.5955,-4045565.146,4862928.121,-6.023,6.5623,4.5452,0,0,0,0.872665292,-1.745330285,178,2.296
700,-713347.1978,-4045564.49,4862928.575,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872665403,-1.745330457,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713347.1978,-4045564.49,4862928.575,-6.023,6.5623,4.5452,0,0,0,0.872665403,-1.745330457,178,2.296
800,-713347.8001,-4045563.833,4862929.03,-6.023,6.5623,4.5452,0,0,0,0,0,0,0.872665514,-1.745330629,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713347.8001,-4045563.833,4862929.03,-6.023,6.5623,4.5452,0,0,0,0.872665514,-1.745330629,178,2.296
900,-713348.4024,-4045563.177,4862929.484,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872665625,-1.745330801,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713348.4024,-4045563.177,4862929.484,-6.023,6.5624,4.5452,0,0,0,0.872665625,-1.745330801,178,2.296
1000,-713349.0047,-4045562.521,4862929.939,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872665736,-1.745330973,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713349.0047,-4045562.521,4862929.939,-6.023,6.5624,4.5452,0,0,0,0.872665736,-1.745330973,178,2.296
1100,-713349.607,-4045561.865,4862930.393,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872665846,-1.745331145,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713349.607,-4045561.865,4862930.393,-6.023,6.5624,4.5452,0,0,0,0.872665846,-1.745331145,178,2.296
1200,-713350.2093,-4045561.209,4862930.848,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872665957,-1.745331318,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713350.2093,-4045561.209,4862930.848,-6.023,6.5624,4.5452,0,0,0,0.872665957,-1.745331318,178,2.296
1300,-713350.8116,-4045560.552,4862931.302,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666068,-1.74533149,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713350.8116,-4045560.552,4862931.302,-6.023,6.5624,4.5452,0,0,0,0.872666068,-1.74533149,178,2.296
1400,-713351.4139,-4045559.896,4862931.757,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666179,-1.745331662,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713351.4139,-4045559.896,4862931.757,-6.023,6.5624,4.5452,0,0,0,0.872666179,-1.745331662,178,2.296
1500,-713352.0162,-4045559.24,4862932.211,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.87266629,-1.745331834,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713352.0162,-4045559.24,4862932.211,-6.023,6.5624,4.5452,0,0,0,0.87266629,-1.745331834,178,2.296
1600,-713352.6185,-4045558.584,4862932.666,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666401,-1.745332006,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713352.6185,-4045558.584,4862932.666,-6.023,6.5624,4.5452,0,0,0,0.872666401,-1.745332006,178,2.296
1700,-713353.2208,-4045557.927,4862933.12,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666512,-1.745332178,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713353.2208,-4045557.927,4862933.12,-6.023,6.5624,4.5452,0,0,0,0.872666512,-1.745332178,178,2.296
1800,-713353.8231,-4045557.271,4862933.575,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666623,-1.74533235,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713353.8231,-4045557.271,4862933.575,-6.023,6.5624,4.5452,0,0,0,0.872666623,-1.74533235,178,2.296
1900,-713354.4254,-4045556.615,4862934.03,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666734,-1.745332522,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713354.4254,-4045556.615,4862934.03,-6.023,6.5624,4.5452,0,0,0,0.872666734,-1.745332522,178,2.296
2000,-713355.0277,-4045555.959,4862934.484,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666845,-1.745332695,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713355.0277,-4045555.959,4862934.484,-6.023,6.5624,4.5452,0,0,0,0.872666845,-1.745332695,178,2.296
2100,-713355.63,-4045555.302,4862934.939,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666956,-1.745332867,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713355.63,-4045555.302,4862934.939,-6.023,6.5624,4.5452,0,0,0,0.872666956,-1.745332867,178,2.296
2200,-713356.2323,-4045554.646,4862935.393,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667067,-1.745333039,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713356.2323,-4045554.646,4862935.393,-6.023,6.5624,4.5452,0,0,0,0.872667067,-1.745333039,178,2.296
